subject,session,data_source,structured_data,channel,signal,stimulus,block,mean_baseline,std_baseline,mean_task,std_task,task_minus_baseline,area_under_curve_task,time_to_peak,time_to_nadir
101,1,1,1,1,1,1,1,-0.079285,3.2234,2.0225,6.862,2.1018,111.11,22,4
101,1,1,1,1,2,1,1,-0.62191,1.4858,-0.047585,2.0509,0.57433,-5.5031,1,40
101,1,1,1,2,1,1,1,1.6936,5.6047,0.65991,7.6422,-1.0337,37.842,30,7
101,1,1,1,2,2,1,1,-0.47997,1.3901,-0.076588,1.531,0.40338,-5.6152,30,18
101,1,1,1,4,1,1,1,1.9611,3.8321,0.66096,5.8071,-1.3001,39.86,29,43
101,1,1,1,4,2,1,1,-0.87871,1.9394,0.62706,2.781,1.5058,29.735,9,40
101,1,1,1,11,1,1,1,-1.1943,4.3146,2.2346,7.1343,3.4289,123.27,28,1
101,1,1,1,11,2,1,1,-0.35355,0.67513,0.74321,1.6119,1.0968,39.547,20,41
101,1,1,1,12,1,1,1,0.084036,2.4967,1.0376,4.3193,0.95361,58.926,29,4
101,1,1,1,12,2,1,1,0.82202,0.94261,-0.43601,1.9157,-1.258,-24.218,2,24
101,1,1,1,14,1,1,1,2.3164,3.9264,1.305,6.0835,-1.0114,75.561,28,51
101,1,1,1,14,2,1,1,-0.4926,1.1257,0.13033,1.8108,0.62293,4.7355,52,19
101,1,1,1,17,1,1,1,-0.59031,5.2313,2.8853,9.0701,3.4756,158.6,28,51
101,1,1,1,17,2,1,1,-0.98684,1.3671,0.52628,1.946,1.5131,25.195,12,37
101,1,1,1,19,1,1,1,-0.20286,6.6742,2.6128,10.607,2.8157,146.82,22,1
101,1,1,1,19,2,1,1,-0.67303,1.2279,0.4573,1.3583,1.1303,21.787,52,38
101,1,1,1,20,1,1,1,0.36559,6.1737,0.97083,7.6586,0.60525,60.151,25,52
101,1,1,1,20,2,1,1,-1.4856,2.993,0.845,3.727,2.3306,37.204,1,36
101,1,1,1,21,1,1,1,0.59786,3.6979,1.3919,6.0944,0.79403,78.869,30,52
101,1,1,1,21,2,1,1,-0.84983,1.6083,0.28152,2.3046,1.1313,11.801,13,37
101,1,1,1,22,1,1,1,-1.6063,6.0715,3.6013,10.119,5.2076,196.34,24,1
101,1,1,1,22,2,1,1,-0.54929,0.68298,0.8351,1.4975,1.3844,43.22,20,40
101,1,1,1,23,1,1,1,2.1787,1.6417,-0.1967,3.0138,-2.3754,-6.4396,35,5
101,1,1,1,23,2,1,1,0.63751,1.1623,-0.44334,1.5529,-1.0809,-25.732,1,26
101,1,1,1,24,1,1,1,0.25501,2.7594,1.5388,4.7365,1.2838,84.533,30,2
101,1,1,1,24,2,1,1,0.33474,0.49744,0.1102,1.0402,-0.22454,5.0209,9,40
102,1,1,1,1,1,1,1,-1.8193,3.5213,3.0303,4.69,4.8496,153.11,18,40
102,1,1,1,1,2,1,1,-0.81826,0.71529,0.47388,0.91017,1.2921,24.126,19,41
102,1,1,1,2,1,1,1,-1.5019,3.3651,3.0437,4.855,4.5456,157.87,28,41
102,1,1,1,2,2,1,1,0.15513,0.2575,-0.057091,0.57294,-0.21223,-3.4177,50,35
102,1,1,1,3,1,1,1,-1.8412,3.0381,2.8287,4.1337,4.6699,142.96,13,41
102,1,1,1,3,2,1,1,-0.62075,0.54306,0.080388,0.59892,0.70114,3.3949,51,36
102,1,1,1,4,1,1,1,-0.5774,2.9762,2.0795,3.6704,2.6569,105.03,28,40
102,1,1,1,4,2,1,1,-0.21904,0.55996,-0.76379,1.2987,-0.54474,-40.12,49,22
102,1,1,1,5,1,1,1,-2.407,2.6833,2.1915,4.0587,4.5985,113.93,27,45
102,1,1,1,5,2,1,1,3.7748,2.3527,-1.7105,2.9664,-5.4853,-88.393,43,23
102,1,1,1,6,1,1,1,-0.9716,2.6966,2.5544,3.807,3.526,130.87,28,42
102,1,1,1,6,2,1,1,-0.11708,0.6098,-0.57712,0.92978,-0.46003,-30.302,43,23
102,1,1,1,7,1,1,1,-1.2852,2.1176,1.9717,3.1332,3.2569,100.92,28,45
102,1,1,1,7,2,1,1,0.81404,1.5588,-1.3599,2.3202,-2.1739,-70.697,45,28
102,1,1,1,8,1,1,1,-1.4065,2.3054,2.0903,3.314,3.4968,105.76,18,38
102,1,1,1,8,2,1,1,-0.25838,0.31471,-0.069057,0.35961,0.18932,-3.9105,52,34
102,1,1,1,9,1,1,1,-1.101,2.3265,1.9243,3.1872,3.0254,97.464,28,38
102,1,1,1,9,2,1,1,0.13665,1.5612,-1.3611,2.4866,-1.4977,-71.341,48,28
102,1,1,1,10,1,1,1,-1.3574,1.6604,1.4092,2.0636,2.7666,71.423,29,37
102,1,1,1,10,2,1,1,0.9939,0.51863,-0.81839,1.1048,-1.8123,-42.062,45,23
102,1,1,1,11,1,1,1,-1.5517,2.4158,1.8253,3.0682,3.3771,91.26,20,39
102,1,1,1,11,2,1,1,-0.27281,0.32957,-0.21936,0.51628,0.053454,-11.87,52,34
102,1,1,1,12,1,1,1,-1.2044,1.9173,1.7862,2.7397,2.9906,90.629,17,38
102,1,1,1,12,2,1,1,-0.14902,0.4074,-0.56706,0.87141,-0.41805,-29.17,44,21
102,1,1,1,13,1,1,1,-3.166,8.6724,7.2053,13.103,10.371,372.3,26,39
102,1,1,1,13,2,1,1,2.8986,9.7357,-3.112,9.9779,-6.0106,-167.88,46,34
102,1,1,1,14,1,1,1,-0.48305,2.953,1.9968,3.4601,2.4799,102.75,29,41
102,1,1,1,14,2,1,1,-0.42951,0.73274,0.14424,0.42578,0.57375,7.2612,52,41
102,1,1,1,16,1,1,1,0.22039,1.9244,1.2011,2.3488,0.98067,61.628,19,37
102,1,1,1,16,2,1,1,-0.30485,0.20923,-0.07988,0.2993,0.22497,-4.4545,52,24
102,1,1,1,17,1,1,1,-0.73894,2.2998,1.9044,2.991,2.6434,97.436,27,37
102,1,1,1,17,2,1,1,-0.20257,0.50418,-0.089794,0.45406,0.11278,-4.2712,34,3
102,1,1,1,18,1,1,1,-0.63341,3.7242,2.4894,4.5393,3.1228,126.32,26,37
102,1,1,1,18,2,1,1,1.6488,5.1549,-1.9952,5.6775,-3.6439,-107.35,47,29
102,1,1,1,19,1,1,1,-0.32023,2.6293,1.8889,3.1551,2.2092,97.633,29,37
102,1,1,1,19,2,1,1,-0.14244,0.6878,-0.32705,0.8193,-0.18462,-16.117,35,1
102,1,1,1,21,1,1,1,-0.90319,2.6011,2.1874,3.4694,3.0906,113.32,29,38
102,1,1,1,21,2,1,1,0.14149,0.48881,-0.74914,1.2123,-0.89063,-38.429,37,22
102,1,1,1,22,1,1,1,-1.4525,2.8362,1.6416,2.8504,3.0941,82.691,15,38
102,1,1,1,22,2,1,1,0.0052477,0.28948,-0.28305,0.3677,-0.28829,-14.247,41,21
